km,klass,surface,highway,tracktype,smoothness,dist_m
709.5132527497934,pinnas,grass,track,grade2,bad,0
709.7074452131253,pinnas,grass,track,grade2,bad,0
710.0012972706925,pinnas,grass,track,grade2,bad,0
710.2987496153894,pinnas,grass,track,grade2,bad,0
710.4970306107172,pinnas,grass,track,grade2,bad,1
710.794471966297,pinnas,grass,track,grade2,bad,0
710.9845401857342,pinnas,grass,track,grade2,bad,0
711.2691179706645,pinnas,grass,track,grade2,bad,0
711.4866511341295,asfalt,asphalt,tertiary,NA,NA,0
711.7268774465595,asfalt,asphalt,tertiary,NA,NA,0
712.0159463497889,asfalt,asphalt,tertiary,NA,NA,0
712.252862001676,asfalt,asphalt,tertiary,NA,NA,0
712.5048448023526,asfalt,asphalt,tertiary,NA,NA,0
712.7376675920085,asfalt (eeldus),NA,unclassified,NA,NA,0
713.0113049112856,asfalt (eeldus),NA,unclassified,NA,NA,0
713.2617160680761,asfalt (eeldus),NA,unclassified,NA,NA,0
713.5045862300146,kruus,compacted,service,NA,NA,0
713.7678416105897,asfalt,asphalt,primary,NA,NA,0
713.991500554066,asfalt,asphalt,primary,NA,NA,0
714.2461414391263,asfalt (eeldus),NA,unclassified,NA,NA,0
714.5266515750579,asfalt (eeldus),NA,unclassified,NA,NA,0
714.7416528105437,asfalt (eeldus),NA,unclassified,NA,NA,0
715.0214900625572,asfalt (eeldus),NA,unclassified,NA,NA,0
715.2488050370649,asfalt (eeldus),NA,unclassified,NA,NA,0
715.526479060547,asfalt (eeldus),NA,unclassified,NA,NA,0
715.7376253471219,asfalt (eeldus),NA,unclassified,NA,NA,0
716.0057849730346,asfalt (eeldus),NA,unclassified,NA,NA,0
716.2716421539899,asfalt (eeldus),NA,unclassified,NA,NA,0
716.5055185224046,asfalt (eeldus),NA,unclassified,NA,NA,0
716.7376560365992,asfalt (eeldus),NA,unclassified,NA,NA,0
717.0097528223306,asfalt (eeldus),NA,unclassified,NA,NA,1
717.25336610354,asfalt (eeldus),NA,unclassified,NA,NA,1
717.5084434902873,asfalt (eeldus),NA,unclassified,NA,NA,0
717.726503033711,asfalt (eeldus),NA,unclassified,NA,NA,0
717.9783343585634,asfalt (eeldus),NA,unclassified,NA,NA,1
718.2499247181909,teadmata,NA,service,NA,NA,0
718.5098120856773,asfalt,asphalt,tertiary,NA,NA,0
718.7699907949334,asfalt,asphalt,tertiary,NA,NA,0
719.0352330592552,asfalt,asphalt,tertiary,NA,NA,0
719.259444487378,asfalt,asphalt,tertiary,NA,NA,0
719.4601877012021,kruus,compacted,unclassified,grade2,NA,0
719.7517620419654,kruus,compacted,unclassified,grade2,NA,0
720.0132863113367,kruus,compacted,unclassified,grade2,NA,0
720.269538080232,kruus,compacted,unclassified,grade2,NA,0
720.4866378701914,kruus,compacted,unclassified,grade2,NA,0
720.7710186498472,kruus,compacted,unclassified,grade2,NA,0
721.003391832707,kruus,compacted,unclassified,grade2,NA,0
721.254857056987,kruus,compacted,unclassified,grade2,NA,1
721.5162855287978,kruus,compacted,unclassified,grade2,NA,0
721.7474167066568,kruus,compacted,unclassified,grade2,NA,0
721.9627340515963,kruus,compacted,unclassified,grade2,NA,1
722.2492681810795,kruus,compacted,unclassified,grade2,NA,1
722.5362928191686,kruus,compacted,unclassified,grade2,NA,0
722.7694537125542,kruus,compacted,unclassified,grade2,NA,0
722.995188554008,kruus,compacted,unclassified,grade2,NA,0
723.2702168144759,kruus,compacted,unclassified,grade2,NA,0
723.523386901717,kruus,compacted,unclassified,grade2,NA,0
723.7486922740845,kruus,compacted,unclassified,grade2,NA,0
723.9791094371728,kruus,compacted,unclassified,grade2,NA,0
724.2292008206712,kruus,compacted,unclassified,grade2,NA,0
724.5092562096978,kruus,compacted,unclassified,grade2,NA,0
724.7472025770822,kruus,compacted,unclassified,grade2,NA,0
725.0026373642536,kruus,unpaved,tertiary,NA,NA,0
725.2632966155396,kruus,unpaved,tertiary,NA,NA,0
725.5265778858615,kruus,unpaved,tertiary,NA,NA,0
725.7801352301527,kruus,unpaved,tertiary,NA,NA,0
725.9872305249316,kruus,unpaved,tertiary,NA,NA,0
726.2862509578323,kruus,unpaved,tertiary,NA,NA,0
