km,detour_m,kind,name,hours,lat,lon,osm
3.02,625,supermarket,Grossi,"Mo-Fr 08:00-22:00; Sa,Su 09:00-22:00",59.4477149,24.6979069,way/26914368
3.11,383,cafe,Stroomi Resto,Mo-Fr 10:00-20:00; Sa 11:00-20:00; Su off,59.446321,24.6938693,node/13006701575
3.21,595,convenience,Toidupood Valentina,Mo-Su 10:00-22:00,59.4454997,24.6977904,node/1696813629
3.31,739,supermarket,Selver,Mo-Su 08:00-23:00,59.444837,24.7004693,way/26854556
3.34,367,restaurant,retro BURGER,We-Su 12:00-20:00,59.4438966,24.6939372,node/9735898717
3.34,805,bakery,OZ∆[] Kondiitriäri,Mo-Fr 11:00-18:00,59.4426784,24.7014443,node/1740009149
3.34,956,fast_food,Pizza 313,"Mo-Th,Su 11:00-23:00; Fr-Sa 11:00-01:00",59.4427401,24.7041696,way/26854356
3.34,964,restaurant,Sõle grill,Su-Th 11:00-22:00; Fr-Sa 11:00-23:00,59.4432838,24.7044484,node/1740008165
3.34,989,supermarket,Maxima X,Mo-Su 08:00-22:00,59.4430945,24.7048551,node/7779187518
3.46,167,supermarket,Pelguranna Toidupood,NA,59.4426308,24.6898188,node/1696813614
3.52,1106,supermarket,Selver,Mo-Su 08:00-23:00,59.4402734,24.7057992,way/650596561
3.52,1108,supermarket,Kolder Selver,NA,59.4402982,24.7058553,node/13354864539
3.75,85,fast_food,NA,NA,59.4405008,24.6842155,node/13834835432
5.6,16,drinking_water,NA,24/7,59.4282797,24.6673404,node/11076869952
5.84,488,cafe,Illu kohvik,NA,59.4239347,24.6598942,node/5753675915
5.92,124,convenience,R kiosk,Mo-Fr 07:00-21:00; Sa-Su 09:00-21:00,59.4275367,24.6606802,way/405024852
5.92,136,fuel,Neste,24/7,59.4273563,24.6607751,way/26846137
5.98,150,fast_food,Hesburger,Mo-Su 09:00-22:00,59.4274966,24.6599611,way/26846121
6.26,198,restaurant,Al Mare Grill,"Mo-Th,Su 11:00-22:00; Fr-Sa 11:00-23:00",59.4271756,24.6557463,node/4072521906
6.26,274,cafe,Reval Cafe,Mo-Sa 09:00-21:00; Su 09:00-19:00,59.4267466,24.6542884,node/9655841422
6.26,364,fast_food,McDonald's,Mo-Su 07:00-23:00,59.4258172,24.6544486,way/26846862
6.26,908,fast_food,Pizza kiosk,Mo-Fr 11:00-21:00; Sa 12:00-21:00; Su 12:00-20:00,59.4212667,24.6509183,node/9621126114
6.26,917,supermarket,Maxima XXX,24/7,59.4211214,24.6512281,node/5282817524
